index,Cattle_ID,Breed,Country,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Milk_Yield_L
3,CATTLE_000004,Girolando,BR,Subtropical,Semi_Intensive,73,260.5,5,Late,249,Crop_Residues,10.6,1,high,medium,6.8,7.1,8.9,34.0,34.9,Spring,0.69,no,no,10.63,high,8,2023-07-07,FARM_0174,12.74
14,CATTLE_000015,Holandes,BR,Tropical,Pastoral,142,532.3,2,Mid,32,Dry_Fodder,10.4,3,medium,medium,11.0,11.0,9.1,16.0,46.0,Summer,0.82,no,no,0.25,low,24,2022-09-14,FARM_0618,2.24
51,CATTLE_000052,Holandes,BR,Arid,Extensive,28,401.0,5,Early,363,Silage,12.3,5,medium,low,6.6,9.7,5.0,5.8,43.5,Winter,0.93,yes,no,11.5,high,8,2022-01-25,FARM_0114,11.09
73,CATTLE_000074,Jersey,BR,Tropical,Intensive,142,332.6,6,Mid,299,Concentrates,14.6,4,high,low,6.0,10.4,12.7,25.0,45.7,Autumn,0.62,yes,yes,3.21,ok,12,2022-09-10,FARM_0446,2.68
77,CATTLE_000078,Girolando,BR,Tropical,Semi_Intensive,86,620.6,1,Early,307,Concentrates,9.4,3,medium,medium,7.4,11.0,7.6,40.0,57.3,Summer,0.69,yes,no,6.33,high,8,2023-08-29,FARM_0760,5.28
84,CATTLE_000085,Holandes,BR,Subtropical,Extensive,99,484.0,4,Early,201,Crop_Residues,17.2,1,high,medium,7.6,5.9,7.5,43.3,55.3,Monsoon,0.47,yes,yes,14.31,high,24,2022-05-07,FARM_0633,11.15
121,CATTLE_000122,Jersey,BR,Subtropical,Intensive,104,311.4,1,Early,260,Silage,11.0,3,high,low,3.0,5.7,12.4,7.9,72.5,Winter,0.72,no,yes,0.16,low,12,2022-06-03,FARM_0293,1.93
135,CATTLE_000136,Girolando,BR,Subtropical,Pastoral,110,621.7,1,Late,42,Mixed_Feed,12.6,2,high,medium,7.3,6.3,14.5,17.2,35.6,Monsoon,0.36,no,yes,10.93,low,12,2022-04-25,FARM_0814,11.19
144,CATTLE_000145,Girolando,BR,Tropical,Pastoral,78,553.5,1,Mid,364,Green_Fodder,12.9,3,high,medium,4.2,8.6,12.7,2.9,67.0,Autumn,0.44,no,yes,1.36,ok,24,2023-02-13,FARM_0360,2.78
146,CATTLE_000147,Jersey,BR,Temperado,Semi_Intensive,101,250.9,6,Early,242,Dry_Fodder,7.6,3,medium,medium,1.4,8.7,9.4,26.0,80.3,Spring,0.39,no,yes,2.31,ok,12,2022-08-21,FARM_0674,4.65
151,CATTLE_000152,Holandes,BR,Temperado,Extensive,132,745.9,5,Mid,43,Crop_Residues,20.6,3,high,high,1.6,8.4,11.6,11.1,82.0,Spring,0.51,no,no,11.15,high,24,2024-07-23,FARM_0082,11.73
178,CATTLE_000179,Holandes,BR,Subtropical,Pastoral,123,665.4,6,Early,138,Crop_Residues,19.9,4,high,medium,4.4,8.5,9.4,27.4,55.6,Winter,0.99,no,no,16.45,ok,12,2024-02-02,FARM_0974,15.38
180,CATTLE_000181,Jersey,BR,Subtropical,Pastoral,28,713.3,4,Mid,50,Hay,15.0,5,medium,medium,4.8,10.3,11.9,45.0,91.0,Spring,0.79,yes,yes,15.77,high,12,2024-01-31,FARM_0935,15.18
